"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"13925","TRPV4",1007,278,152,711,1258,394,764,183,650,113,158,407,443,1630,787,336,935,170,83,125,1375,1320,462,90,366,160,548,942,144,2037
"3393","DKK3",2,317,130,1206,1,104,34,613,203,637,398,658,940,840,346,349,692,1548,532,642,382,538,68,548,407,229,847,238,3702,908
"2014","CCL2",371,91,171,22,493,129,216,106,3550,50,812,494,421,189,290,57,248,7,94,3589,1021,2683,803,845,145,14,929,79,218,8
"2531","CLDN18",896,345,102,255,638,567,370,645,523,643,511,555,138,942,1055,830,428,1397,1437,827,332,890,715,267,465,262,129,1377,199,574
"5413","HAS2",3,1344,98,173,75,48,4697,429,341,88,106,376,1067,175,2336,106,738,148,84,584,211,20,3,176,95,10,239,191,668,4038
"12351","SNORD80",641,256,227,375,675,596,318,332,1536,726,394,519,128,469,1466,196,928,471,764,1089,410,1232,824,374,461,162,1068,521,1304,288
"1989","CCDC81",457,777,896,67,294,733,373,918,1518,1063,627,241,734,1120,505,371,333,835,650,1080,360,268,291,409,1947,790,600,215,195,92
"3481","DNAJC9-AS1",397,674,869,195,378,926,1795,1094,906,1569,432,351,153,345,317,437,1182,550,303,378,144,130,585,260,1423,1906,154,268,214,572
"410","AK5",10,299,652,3103,11,14,100,1531,29,15,155,4059,772,57,22,522,303,130,198,179,3539,155,12,170,1,12,1460,345,759,362
"8615","NECTIN1",1107,1213,566,404,667,92,1011,441,382,457,188,321,361,715,511,253,630,1827,525,833,264,401,477,511,997,424,106,606,1510,1247
"11896","SLAMF8",1369,150,2199,130,534,89,1344,328,1093,111,104,293,194,1499,271,94,134,66,234,416,1187,303,2298,242,679,105,2522,174,880,12
"10316","PRRX2",87,582,383,706,122,284,352,795,474,414,196,30,505,3097,327,90,984,1525,335,225,98,31,101,173,335,122,104,505,2564,3577
"12418","SOCS3",74,103,7,331,5856,11,86,4,1835,1,331,203,828,48,885,73,2916,10,3,425,120,1869,100,573,6,59,1441,5,557,561
"4727","FSCN1",760,449,1312,1199,1395,578,2958,514,82,519,16,546,224,62,646,89,220,173,145,208,564,318,156,162,140,119,859,921,3137,974
"12886","SYCE1",23,1223,741,127,495,303,810,485,447,334,488,459,4004,7,2040,18,200,202,1,1322,217,229,20,670,640,159,3140,1,6,745
"9080","OGFRL1",1147,307,1088,349,1154,1007,338,483,383,300,736,1583,1242,765,123,490,725,238,135,182,2194,281,630,288,755,1139,1202,300,150,105
"9830","PLEKHG4",80,291,66,242,176,158,209,216,344,996,133,129,255,2299,180,182,1676,2244,147,118,30,313,205,161,4066,780,59,124,847,3169
"2929","CSGALNACT1",1448,736,378,495,3110,366,3732,164,84,575,203,701,168,160,1231,497,907,456,85,362,163,453,422,297,524,542,85,326,350,987
"13772","TRAF1",1894,401,202,1274,1391,304,148,173,169,105,559,1097,769,2173,195,406,591,561,128,563,2274,1016,800,410,413,345,306,674,395,305
"14415","VAV1",1698,61,196,872,1774,154,1226,46,27,76,136,2208,247,572,360,286,314,104,178,39,3409,1018,645,221,93,132,2010,965,733,275
"3581","DSC2",764,858,792,1460,853,341,662,322,189,157,409,2232,1618,585,259,850,709,309,53,271,2557,427,408,444,287,463,544,407,322,566
"3121","CYTL1",2080,281,13,145,5911,74,381,16,49,106,183,442,276,1707,1468,252,602,976,288,178,165,887,503,230,984,179,132,298,507,898
"4766","FYB",2343,414,1825,203,1837,293,1769,104,265,147,442,870,1310,367,1269,716,524,222,432,66,1466,422,396,347,183,682,704,295,151,181
"3917","ENO2",590,502,1562,1034,470,791,150,928,590,802,547,424,603,311,263,315,507,336,1421,676,931,93,297,217,539,356,1403,669,3008,113
"9089","OLFM4",1220,1108,645,38,1447,598,2260,1021,1554,560,22,94,369,51,3909,359,75,63,95,2843,189,111,200,165,396,76,538,292,75,139
"7281","LPAR6",188,404,331,687,166,255,145,682,283,1634,58,368,96,608,472,1308,117,1463,2092,288,167,942,221,59,559,459,382,634,2128,3386
"11408","SAMD11",15,191,986,316,8,623,29,689,161,4966,725,159,108,372,134,183,235,3627,698,582,78,35,130,326,668,637,316,60,3917,121
"11391","S1PR2",441,606,654,334,533,164,284,134,948,191,254,399,1138,2117,1319,121,2562,258,544,387,407,63,372,317,1547,185,2061,304,2337,211
"5942","IGSF3",916,993,285,154,704,98,1188,571,977,326,518,162,394,2156,1046,542,1410,1785,330,465,166,171,508,265,2104,681,38,546,63,1733
"6847","LINC01088",40,104,164,4872,35,734,21,213,24,690,14,213,45,84,63,87,27,314,407,151,245,242,32,41,55,28,666,458,10933,302
"5157","GPC2",639,355,154,249,251,962,454,958,428,693,930,727,163,418,1178,400,139,741,490,967,947,3379,548,1420,74,64,275,1429,1680,367
"14795","ZBTB7C",299,516,486,3846,263,563,56,1596,96,401,535,1181,518,229,313,1235,362,1858,524,406,1456,655,169,199,114,142,283,627,1189,1401
"4560","FHOD3",1862,37,86,693,782,2287,737,259,4,549,936,379,149,3153,232,552,1046,666,891,64,99,228,198,171,125,2314,83,1218,20,1913
"6785","LINC00638",248,1241,3054,432,340,202,1708,967,2106,1091,36,444,57,451,1233,829,403,273,344,452,303,74,316,42,1048,757,287,415,493,2186
"3484","DNALI1",41,360,1297,673,113,601,640,1513,1160,1838,231,205,341,1804,48,573,1001,712,654,272,126,76,182,158,2069,1726,400,189,2237,790
"5295","GSTM1",1701,332,346,48,895,44,222,310,774,94,1130,905,3599,3231,766,517,478,50,1009,320,768,84,1289,101,995,235,1297,266,222,10
"7759","MEDAG",50,1605,266,57,197,82,1074,330,1048,574,51,10,740,504,1924,45,2193,1151,63,273,9,21,35,201,4815,244,378,14,815,3412
"5141","GPAM",86,49,1021,3946,131,673,262,174,347,1612,42,426,9,428,35,199,1441,734,690,375,500,198,1366,376,753,1142,1034,611,3604,415
"11985","SLC25A30",448,538,259,466,424,383,466,480,560,948,834,288,984,2270,361,250,3088,1660,401,730,183,641,285,1286,1704,604,300,271,1311,303
"12991","TAPT1-AS1",480,2132,473,112,497,181,1407,537,2298,989,446,114,332,422,2516,438,1165,545,380,1732,299,562,567,370,1767,498,450,170,456,919
"5297","GSTM2P1",2052,314,3675,360,1018,277,803,787,1505,169,562,623,869,1456,283,763,338,96,615,627,1647,61,753,113,743,367,1913,465,307,29
"8242","MTCL1",655,180,469,527,699,3399,120,1145,2311,2227,426,482,144,426,1109,344,219,242,1241,1444,344,530,1140,120,623,233,1430,1120,781,193
"7592","MAPK4",394,189,1159,3108,184,337,1206,5189,346,275,528,1141,308,537,262,1154,771,420,497,152,1623,378,181,175,71,248,393,1464,342,1355
"6931","LMX1A",620,1924,630,185,539,335,1230,1618,466,511,145,101,623,550,2375,105,380,1904,897,2067,233,217,103,463,223,55,189,1247,3796,663
"10046","PPDPF",110,1074,967,80,87,160,880,1387,1250,4066,634,202,50,1041,463,1049,1412,844,791,1188,72,98,763,448,1478,2805,155,102,798,258
"11831","SHROOM3",160,370,273,1682,99,179,436,675,1002,218,448,3724,134,440,175,1374,166,233,471,852,5168,1327,1644,293,122,220,525,1469,517,461
"1691","C8orf34",195,1201,423,428,362,1557,245,1927,366,2375,284,54,375,269,573,506,1972,1964,122,526,33,68,967,512,1046,679,228,130,993,4571
"11392","S1PR3",65,441,22,69,223,6,408,42,1833,135,141,82,506,158,8662,62,820,533,277,433,108,824,81,406,1176,15,2703,87,1092,3671
"2107","CD300C",2024,92,1332,359,987,325,625,219,929,90,200,1513,230,377,279,193,170,27,151,148,7097,398,1763,196,230,177,4598,262,163,16
"9450","PDE7B",1467,196,995,357,592,978,760,1560,787,1542,819,225,283,3347,858,1031,247,918,885,539,356,723,1403,536,476,796,552,564,1192,270
"6166","ITGB2",3326,209,636,447,1787,51,3492,110,183,23,467,1601,1054,2137,990,586,815,110,351,50,2139,250,1244,154,321,112,855,1367,335,103
"7183","LOC401317",600,625,363,65,575,110,631,87,1623,753,30,69,223,589,2870,31,877,159,404,731,41,149,334,156,4080,95,2057,62,6801,214
"2141","CD74",4740,79,60,158,5598,420,858,94,302,93,204,415,122,2834,548,256,238,414,484,106,347,880,3080,89,1403,325,225,596,131,371
"11475","SCARA5",70,1059,289,951,422,362,862,889,276,318,222,36,1075,2271,498,96,2311,2169,281,44,121,19,27,44,678,158,94,406,2011,7623
"12434","SORCS2",39,572,20,1487,48,52,1500,798,60,27,1327,1066,1207,3119,71,753,1983,883,540,871,857,471,42,611,63,23,9,5218,566,1402
"7105","LOC100507071",854,959,2672,269,297,395,1330,1614,1118,739,878,568,776,2747,553,1298,632,786,1142,704,729,108,579,538,899,1192,372,532,366,130
"12027","SLC2A13",556,592,1599,569,501,1227,1243,1111,949,1119,639,569,634,1387,661,1681,356,641,541,203,1506,1256,597,320,673,1483,688,558,346,1622
"3767","EGR2",220,97,59,1167,380,41,99,2,473,224,701,2420,2032,68,3,127,1275,82,113,949,700,1440,815,8363,259,1049,271,66,2287,71
"12181","SLITRK2",474,65,319,1253,1010,855,739,992,722,466,1158,755,749,26,1390,261,398,687,250,1013,694,3736,112,775,257,96,823,711,475,4688
"13149","TEKT3",726,784,1918,140,306,2311,1073,805,2284,1853,100,332,267,424,2754,789,107,181,780,166,780,424,1242,307,716,533,738,1505,317,1418
