"gene"	"B.cells.memory"	"B.cells.naive"	"Dendritic.cells.activated"	"Dendritic.cells.resting"	"Endothelium"	"Eosinophils"	"Epithelial"	"Fibroblast"	"Macrophages.M0"	"Macrophages.M1"	"Macrophages.M2"	"Mast.cells.activated"	"Mast.cells.resting"	"Monocytes"	"Neutrophils"	"NK.cells.activated"	"NK.cells.resting"	"Plasma.cells"	"T.cells.CD4.memory.activated"	"T.cells.CD4.memory.resting"	"T.cells.CD4.naive"	"T.cells.CD8"	"T.cells.follicular.helper"	"T.cells.gamma.delta"	"T.cells.regulatory..Tregs."
"SH2D1A"	11.4814649967105	15.7864201979449	15.6318599456166	10.2728529696172	49.9383177439253	19.8585905957274	19.836384611942	43.4181278086721	15.3193482735541	12.3643474319166	6.2714648558351	30.0783298382932	13.8232407984286	11.2704830385683	26.9850961952074	809.672368676225	1198.8979197028	10.2013922912031	1302.35871070861	1268.53785765097	577.111894299855	1114.71942333256	1173.0115058316	1607.66983339665	1714.59767956858
"SIGLEC1"	117.450424496266	194.401220413554	1899.01762606995	381.077988125189	81.757578047451	97.7760643256839	54.4624161029849	75.0985641826068	132.590183272341	8731.8492922621	2835.73299278734	109.968874095786	140.539213507672	229.761527238096	187.23897680004	59.2540812549946	70.8902897610569	77.1816177896879	32.2224694403072	65.7934560214448	76.3988954994082	57.0658819156859	61.5667774733826	143.622656059797	98.8390327695696
"SIK1"	4158.17632353826	3668.55037300363	168.329465770106	72.4934769388121	189.57157898926	3915.9617210695	102.126516498396	291.426715825179	183.019405839711	242.584554155882	72.5039238381031	268.217588638243	42.9103819317918	480.5577395151	304.217357175808	201.785340551356	396.740550623158	11901.2847388723	120.406594355296	339.846848869193	2160.50835386752	1102.04344977925	4177.46002165303	358.918530285827	736.979814704238
"SIT1"	953.167746913927	494.17618666833	68.239830324133	358.066139175622	100.115861602257	58.8587571133531	56.6393867424512	103.309810877946	115.287353203579	44.8729922451581	67.5978929860026	35.5639383908455	54.5497864854655	70.9573700251346	215.671326827187	75.5843869835245	84.3445789112912	326.012312265806	829.202673609586	1572.85570060425	732.65771403213	1318.97096208744	1621.41895999446	1305.17856765706	3701.71239116468
"SKAP1"	386.508741749993	921.985151647492	114.15927272986	126.672347955345	62.6558321181308	351.36327883263	80.9989282499461	83.7162011535757	161.045417103306	85.1701234188951	61.3275243888181	419.604425029622	449.649460566006	119.512191514651	276.576506674481	1377.21011580232	1896.65364087923	619.933064757143	752.957927466687	2189.49237729681	1706.473355443	2172.12120986692	2130.64381254141	3802.69235218121	6214.974000433
"SLAMF8"	107.91005972506	123.457338653059	1849.33255407173	2936.52977600763	35.641166480529	84.3605411316395	23.7741018446583	38.4146139313805	1371.96943449401	682.436764150776	1227.44793293672	331.716311999991	188.291096354993	125.393324421859	94.9724119215174	67.8612173814694	130.317274682264	60.2306702216674	57.6882003121709	74.8986220398841	68.7243952118524	80.4807264179865	52.9554936434714	173.854479333869	21.4636118124827
"SLC12A8"	3.04561483066331	2.50517776617131	171.097880379285	25.2298331784296	17.6323912386659	81.6979155124644	128.245816514738	98.0924524825186	167.19839050996	19.8682690639409	13.9481002609655	521.48083642836	398.247049284071	6.13284648830461	9.04411298474178	9.4616299124008	5.50208389269391	33.9244603635974	4.86092349212174	1.79482302651731	2.37425312148294	9.20098607854528	8.40012565393324	5.35543866228614	30.3564174911901
"SLC15A3"	157.719636069433	3.06022621955321	4589.61041107973	3687.9680532143	111.086690728561	13.9793949933179	70.669476486582	195.699851444021	3262.61203016316	4947.80147286656	5290.98448255121	376.775156913524	264.545961474625	1571.89272313712	1530.27473960342	4.54960608268587	6.48345942500178	5.52316994683064	7.05009444209966	12.1926206966611	6.87457061661057	10.8054425869603	13.6269574897535	52.4733961868202	5.07364062474038
"SLC2A6"	229.270350203588	86.616404235894	1574.779859537	430.444083593576	490.873627751689	9.9613327504163	210.324117302534	146.560920645883	569.914540123704	8930.85816485494	486.726207684799	474.529445861068	509.615436268024	556.28642899124	9.78791848148987	87.150049272704	50.2581216884352	27.8805270812371	14.4796077858367	8.38190292409989	61.3339249347782	29.0615224158445	5.6455055664338	181.664016546323	9.76593142388062
"SLC7A10"	61.2487649234151	39.7255584251164	21.0593164577541	24.8790246162077	30.9123642811705	23.1686098250149	8.49540071796975	29.5805531250645	9.62114834669327	24.0697777806671	15.1781406667541	6.52437443731282	32.4473602461947	26.0441216113077	36.9280010315194	13.8062253069095	20.9970919978321	87.3030864077274	30.8552401396704	38.3904643161921	11.3657240739734	21.6404119805505	170.58796156449	9.94139182034533	13.4939392511824
