"","logFC","logCPM","LR","PValue","FDR"
"SYMPK",0.0227027928289324,5.96495842357015,0.0507594668227496,0.8217469754893,0.999802087555117
"WBSCR17",0.0613755252279222,0.759708373806192,0.0507494301763032,0.821764303170426,0.999802087555117
"FDXACB1",0.0286942907994504,1.6013789182757,0.0507352203405986,0.821788838697117,0.999802087555117
"APH1A",0.022178424585649,6.78045124318025,0.0507348914666021,0.821789406592781,0.999802087555117
"NDST2",-0.0235484216610022,5.25357951566744,0.05070141090021,0.821847230556015,0.999802087555117
"USP12",0.0230375374612242,5.3536332105092,0.0506588992680896,0.821920680899508,0.999802087555117
"ZNF516",-0.0266260604631269,4.74616346621746,0.0506544923338765,0.821928296922427,0.999802087555117
"NAT10",-0.0240847928170277,5.26418964295216,0.0506511849418523,0.821934012955358,0.999802087555117
"ZBTB17",0.0221479932538352,4.50937966434889,0.0506284445337393,0.821973319600054,0.999802087555117
"LYAR",-0.0280835726345829,3.39543539944095,0.0506097687429872,0.822005607517166,0.999802087555117
"FASTK",-0.0220571157958981,5.70317240802386,0.0504951718392554,0.822203867242827,0.999802087555117
"FAM155A",-0.0657003076265002,1.27151636426774,0.0504872553946107,0.822217571904323,0.999802087555117
"SMIM19",-0.0259431107411239,4.67087518907902,0.0504661776254745,0.822254066477079,0.999802087555117
"ZNF451",0.0216765699777307,5.27354918186555,0.0504341191895377,0.822309588600493,0.999802087555117
"MSRA",0.0272792345037416,3.97923476285488,0.0503782861710054,0.822406330282167,0.999802087555117
"YIPF6",0.0257559685248093,3.61781379112299,0.0503695755131464,0.822421428286338,0.999802087555117
"C2orf16",0.0473263538569648,0.30187470177067,0.0503625760507909,0.822433561304188,0.999802087555117
"RPL32P3",0.027363153854202,3.04415730552552,0.0503593259537585,0.82243919539302,0.999802087555117
"KCNK7",0.0454303702752037,-0.385909961475325,0.0503590594505745,0.822439657388502,0.999802087555117
"FCRL6",-0.0563205403090756,0.615008012285738,0.0503585543280138,0.822440533045131,0.999802087555117
"YIPF3",0.0219310812373286,6.34418405233855,0.050331082204214,0.822488164371775,0.999802087555117
"ZSCAN30",0.0244401591952499,4.50730580642966,0.0503093709196651,0.822525817182002,0.999802087555117
"PRDM11",0.0305530720302577,1.23462880268821,0.0502796545628286,0.8225773666299,0.999802087555117
"UBA2",0.0273716551623491,7.30325036806962,0.0501826749298679,0.822745710175972,0.999802087555117
"ATP8B3",-0.0439115890066485,0.714439811003014,0.0501814900554827,0.822747768013751,0.999802087555117
"CASKIN2",-0.0349792675799747,6.65121967336833,0.0501644156785375,0.822777424874862,0.999802087555117
"PIK3R3",-0.0336831537945687,6.45284996033884,0.0501581975089778,0.822788226667028,0.999802087555117
"PLGLB2",0.0377731955579802,1.47468935824597,0.0501298906682202,0.822837408323604,0.999802087555117
"MCFD2",0.021849225162704,6.83965075140451,0.0500758502657508,0.822931341206805,0.999802087555117
"LOC643072",-0.031596181990018,1.66935878963203,0.0500484625389959,0.822978966802501,0.999802087555117
"HIST1H2AC",0.0413374785772679,2.73165093384272,0.0500272464413385,0.823015869715739,0.999802087555117
"HS1BP3",-0.0229975721566767,4.69721889283916,0.0500206281072746,0.823027383212819,0.999802087555117
"B4GALT2",0.0261088191464747,5.96792430427957,0.0500175246883643,0.823032782309812,0.999802087555117
"SH3PXD2A",-0.0289362296950393,7.20850008237068,0.0499613119189561,0.823130607558298,0.999802087555117
"MLPH",0.0544615934315081,4.46194137111869,0.0499468694865151,0.823155750581125,0.999802087555117
"FAM160B2",-0.0226339638584529,6.43642322663972,0.0499432402440831,0.823162069377606,0.999802087555117
"HDX",0.0293107594632841,1.95627281380867,0.0499115444287224,0.823217264533252,0.999802087555117
"BRAP",0.0221907596781458,4.61324687591836,0.049787466826678,0.823433510708056,0.999802087555117
"DTNA",-0.0356810385233006,3.95161920949893,0.0497731303574724,0.82345851496022,0.999802087555117
"RPL23AP64",0.0392753076964505,0.573186911313171,0.0497496919510567,0.82349940205495,0.999802087555117
"FAM134C",-0.0232490144653177,6.14094072496513,0.0497105391660426,0.823567724632559,0.999802087555117
"UBASH3A",-0.0680501508429849,-0.247071732266855,0.0496886366114992,0.823605957451215,0.999802087555117
"PGM2",-0.0261806027204923,3.99550011171566,0.0495862390902566,0.82378481869992,0.999802087555117
"IBTK",0.0224945904245525,5.65958535627824,0.0495764822910361,0.823801871345195,0.999802087555117
"MAZ",0.0217785043596262,6.65657042598618,0.0495041685466115,0.823928314106983,0.999802087555117
"GRB14",0.051454256484586,2.95984547736013,0.0494992241223642,0.823936963120898,0.999802087555117
"DYNLT3",-0.025454553203818,5.20240660505393,0.0494249285806392,0.824066978918932,0.999802087555117
"LMO2",0.0292010154901412,5.16844287821085,0.0494091495342985,0.824094605152876,0.999802087555117
"ABCA8",-0.0308415031761839,8.15567684391947,0.0494001787326468,0.824110313455466,0.999802087555117
"BEAN1",0.0455570329705732,1.39127085315701,0.0493120913189742,0.824264638300313,0.999802087555117
"PRSS35",-0.0700079317959295,-0.686608325781174,0.0492415783460096,0.824388277842828,0.999802087555117
"AATF",-0.0230087513776796,4.98742500526544,0.0492172531699699,0.824430951875806,0.999802087555117
"PCM1",0.0236853733819758,7.00394340211232,0.0492137742704006,0.824437055867487,0.999802087555117
"MED22",0.0244962816714823,5.23402114464292,0.0492020232433603,0.824457675604529,0.999802087555117
"RBM48",0.0240433868092054,3.66841857821422,0.0491795147513709,0.82449717887228,0.999802087555117
"PSMC4",0.0216751721587317,5.27180316791275,0.0491422999695432,0.824562513053186,0.999802087555117
"RP9",-0.0279286431106005,3.05929694256947,0.0491202032164626,0.824601318340364,0.999802087555117
"CAPRIN1",0.0220602287063365,7.48130130101275,0.0491185677288613,0.82460419087134,0.999802087555117
"MIPEP",-0.0286104743275447,3.16048251532763,0.0491061663666947,0.824625973957504,0.999802087555117
"TBCB",-0.0234743659591475,5.05977386430973,0.0490830339410646,0.824666613950358,0.999802087555117
"STARD13",-0.0244681560915286,5.69122654163147,0.0490805184318841,0.824671033905532,0.999802087555117
"SMARCAL1",0.0217309358662595,4.46941385847465,0.0490706378825791,0.824688395988103,0.999802087555117
"CD59",-0.0260047458834098,8.89615023607576,0.0490636117378358,0.824700743432027,0.999802087555117
"OSMR",-0.0399042004047234,5.74140799064211,0.0490617930791259,0.824703939615557,0.999802087555117
"RNASEH2A",0.0259733929366403,2.50496279952383,0.0489993847952013,0.824813656108541,0.999802087555117
"GLIS3",0.0366149948129723,2.47783871777674,0.0489793890473109,0.824848825010431,0.999802087555117
"PRMT5",-0.022815160774308,4.52828326364318,0.048951291236019,0.824898256703485,0.999802087555117
"SLF1",-0.0278496606012345,2.21326597728628,0.0489365980588019,0.824924111924648,0.999802087555117
"HIBADH",-0.0289624292582025,6.36091149181584,0.0489171187878803,0.824958395394306,0.999802087555117
"ABCA3",0.0260742134674304,5.25813419074908,0.0487931982657415,0.82517666306532,0.999802087555117
"ZPR1",-0.0256134075700661,4.49977234488038,0.0487902976563959,0.825181775539478,0.999802087555117
"ILF2",-0.0216155423753899,6.10764510549039,0.04877934485893,0.825201081849468,0.999802087555117
"CPSF6",-0.0219731965070409,6.29579453896037,0.0487706749973,0.825216365679186,0.999802087555117
"PTGER3",0.0387601715715191,6.75856567948717,0.0487486884879331,0.825255131402555,0.999802087555117
"TOP3B",0.024712895441939,4.03013449942855,0.048747598212973,0.825257053969801,0.999802087555117
"PABPC1",0.0225030032523029,9.26574363605345,0.0487293614597775,0.825289215608765,0.999802087555117
"GMCL1",0.0314864388461347,4.20721500281434,0.0487246572932918,0.825297512720433,0.999802087555117
"EPB41",0.0326626874304088,5.77283000886638,0.0486625094055313,0.825407167335944,0.999802087555117
"EIF1AY",0.0270508619805983,4.43223518597023,0.0486512642952963,0.82542701621181,0.999802087555117
"TMEM243",-0.0239743830616236,3.89370377912527,0.0486328206937809,0.825459576437879,0.999802087555117
"PARP11",0.0239901649038575,3.57890017584718,0.0485910677658321,0.82553331073882,0.999802087555117
"KLF3-AS1",0.0335619255094656,2.74546222902893,0.0485486372488708,0.825608275678841,0.999802087555117
"CARS",0.0245282644402606,5.36540121541594,0.0485452533468393,0.82561425573218,0.999802087555117
"SETD9",-0.0295194155933697,2.64994152948392,0.0485345948794631,0.825633092872358,0.999802087555117
"LRBA",0.0268543531560181,5.21668007016213,0.0485293567829395,0.825642351166874,0.999802087555117
"NEXN",0.0483007820460231,4.66622965034287,0.0484054680664663,0.825861476419078,0.999802087555117
"HIST2H2AA3",0.0482961207462551,1.80294070854346,0.0483736542114634,0.82591779385426,0.999802087555117
"LOC400099",-0.0293386938821721,1.53687806095149,0.048358503290963,0.825944621099953,0.999802087555117
"LOC100507131",0.0331673797057857,2.74292046603177,0.0483260515173534,0.826002097236052,0.999802087555117
"MCCC1",0.0342108153043061,6.10023359753389,0.0483083047098241,0.826033537601396,0.999802087555117
"ZNF84",-0.0240680714674004,4.26569672755153,0.0482780576094859,0.826087137526176,0.999802087555117
"NANP",-0.0250965007241157,2.53023082654433,0.0482629603388496,0.826113897504705,0.999802087555117
"FDX1L",-0.0256138859544627,3.10683842173412,0.0481741985664055,0.826271316937009,0.999802087555117
"IL17RA",0.0281914220953561,4.39775240610796,0.0481261278973335,0.826356633959358,0.999802087555117
"CSNK2A3",0.0246796245621706,4.06840398619839,0.0481221011323916,0.826363782789041,0.999802087555117
"CLUHP3",0.0319624002731612,1.635555196841,0.0481193135024807,0.826368731930892,0.999802087555117
"FHL3",-0.03364275630313,3.34278898809513,0.0480463446439465,0.826498333897217,0.999802087555117
"CYC1",-0.0280776134559136,5.03783812299362,0.0480180189347372,0.826548671745817,0.999802087555117
"LOC148696",0.0682792339650797,0.705913008785716,0.0480052032665981,0.82657145168661,0.999802087555117
"RNF146",-0.0211142708556969,5.95600075166168,0.0479954186514604,0.826588846054612,0.999802087555117
"KAT7",-0.0222922801375069,5.22185153955049,0.0479820691740507,0.826612580769385,0.999802087555117
"C9orf64",0.0230400779745299,4.13167067646233,0.047939635787829,0.826688048232871,0.999802087555117
"FBXL3",0.0216755033756798,6.37142130329445,0.0479390435503291,0.826689101770495,0.999802087555117
"ZNF354A",0.0224249795566476,3.76313150853979,0.0479131366200769,0.826735194561652,0.999802087555117
"DYRK1A",-0.0219585237104959,6.02377781340148,0.0478505839422194,0.826846540165476,0.999802087555117
"TRAPPC3",-0.0233362362545596,5.13443099722915,0.0478142612129124,0.826911230691246,0.999802087555117
"ZGPAT",-0.0228957558045925,4.68834489042522,0.0477473516403117,0.827030463600589,0.999802087555117
"SFPQ",0.0311448553598965,6.99784557272153,0.047744313047474,0.827035880452535,0.999802087555117
"LOC283335",-0.0436689324726834,4.93949659018911,0.0476958232441831,0.827122346915495,0.999802087555117
"MARCH2",0.0280480387688058,6.4165622832858,0.0476753890237731,0.827158798775227,0.999802087555117
"SCAMP3",0.0216459325847972,5.47234854557585,0.0475723548376674,0.827342722491306,0.999802087555117
"SNORD5",0.0471427484933466,0.257899820854363,0.0475315691831426,0.827415585569497,0.999802087555117
"NINL",-0.0240600178999819,4.21270860910263,0.0475167108105632,0.827442138009873,0.999802087555117
"SPIRE1",0.0238930350605422,5.00678115633757,0.047482536077208,0.827503225982518,0.999802087555117
"PPP2R5C",-0.0213387179037108,6.33731008895633,0.0474812397522877,0.827505543640704,0.999802087555117
"NFYB",0.0262218522352586,5.46020560483726,0.047438331399686,0.827582276833774,0.999802087555117
"RGAG4",-0.0271425162878784,4.14299988172068,0.0474165453097228,0.827621250906387,0.999802087555117
"MIEN1",-0.0231402620825344,4.24256394618746,0.0474036068301533,0.827644401547259,0.999802087555117
"HDAC11",-0.0251987716233104,4.61088237542345,0.047378194392012,0.827689881302629,0.999802087555117
"HCG18",-0.0253200775129685,4.056516585376,0.0473584374973539,0.827725248356258,0.999802087555117
"AGRN",0.0305368212812592,6.27222282006621,0.047124142596914,0.828145252965344,0.999802087555117
"HNRNPLL",0.0209315500194167,4.69611888798948,0.0471063603113739,0.82817717466036,0.999802087555117
"NAGA",0.0281327510406613,5.19165338224858,0.0470480342436019,0.828281922434299,0.999802087555117
"MRPL49",-0.0225891991282501,4.99938686120469,0.0470218309304826,0.828329003090563,0.999802087555117
"IFI44L",-0.0404195613097668,5.4838374561014,0.047007008864874,0.828355640636155,0.999802087555117
"PLK4",0.0293489001650636,1.07633497604655,0.0470030202756044,0.828362809499098,0.999802087555117
"ORMDL3",-0.0451769554593249,7.76897367802896,0.0469977755540647,0.828372236547281,0.999802087555117
"FLJ44635",-0.0348433533214647,0.61977966130519,0.0469854000627006,0.828394482876743,0.999802087555117
"ZIK1",-0.0333057205861431,1.51548213202624,0.0469584648842361,0.828442912477447,0.999802087555117
"C3orf80",0.0560923245525148,0.49598941118914,0.0469181417730198,0.828515440843424,0.999802087555117
"MAST2",-0.0250014894549507,6.06862515649397,0.0469095558801769,0.828530888328536,0.999802087555117
"ASXL3",-0.0501161748561656,0.748376679096362,0.0469025513146342,0.828543491832482,0.999802087555117
"EBLN3P",0.0212132759223746,6.05245824774481,0.0469025243707533,0.828543540315236,0.999802087555117
"POLR3F",-0.0233056065272386,3.59543692681613,0.0468981206058761,0.828551464635132,0.999802087555117
"ESAM",0.0282965844423945,6.94905942193031,0.0468633659587567,0.828614017281586,0.999802087555117
"ZSCAN26",0.0264141713084321,4.54092262561862,0.0468621972777328,0.828616121137062,0.999802087555117
"MCM7",-0.0223048057067379,6.1250544214908,0.0467569307477627,0.828805734341546,0.999802087555117
"KBTBD4",-0.0253244610562561,2.69264992664787,0.046736172413862,0.828843152024227,0.999802087555117
"ZCCHC10",-0.0280202082822717,3.51097183540303,0.0467007510374202,0.828907020485763,0.999802087555117
"TRADD",-0.0223793408447715,4.42792627364804,0.0466966954919794,0.828914334677405,0.999802087555117
"POP5",-0.0273814010400624,3.96649557678683,0.0466824874584635,0.828939961542759,0.999802087555117
"GLS",0.0260689029964285,5.45660078716998,0.0466400337051951,0.8290165592149,0.999802087555117
"TWF2",-0.0264517569433497,5.56148405438162,0.0466343127854003,0.829026884039489,0.999802087555117
"LGALS4",-0.0475253651976301,0.495475926711117,0.046613757988748,0.829063985759418,0.999802087555117
"TMEM184B",0.0259239446654408,6.88041473173321,0.0466116433552592,0.829067803190622,0.999802087555117
"DPYSL2",0.025033511827496,7.69322539016936,0.0465724830326764,0.829138513547184,0.999802087555117
"DLGAP1-AS2",-0.0477284524862149,-0.0131738740807331,0.0465166180185257,0.829239440824599,0.999802087555117
"ZSCAN25",0.021991920066584,3.92573515022729,0.0464998307980946,0.829269781472356,0.999802087555117
"FAM83F",0.0490647142132211,0.761425174967447,0.0464842337942812,0.829297976100025,0.999802087555117
"CD99L2",-0.0248379555422916,7.29978732363252,0.0464505862225515,0.829358817513859,0.999802087555117
"ZNF131",0.0250655976855862,4.05647074655574,0.0463932703241756,0.829462509026363,0.999802087555117
"IGKV2D-28",0.129125817786388,-0.046393828181594,0.0463678776210443,0.829508468974743,0.999802087555117
"HPS3",0.0243364352925683,4.44683731995158,0.0462843007441691,0.829659833411006,0.999802087555117
"MLYCD",-0.0311661926944457,4.27764336314934,0.0462319503629747,0.829754716997576,0.999802087555117
"ISOC2",-0.027516281818496,4.28660506715977,0.0462127757438431,0.829789484515215,0.999802087555117
"CHMP3",-0.0219730745094604,7.3002872804962,0.046196918636852,0.829818242403992,0.999802087555117
"RGS14",-0.0278225238846403,3.09085056992648,0.0461948929979012,0.829821916403114,0.999802087555117
"POC5",-0.0249249776944423,2.896617959329,0.0461583161877277,0.829888272034036,0.999802087555117
"SIRPB2",0.059639461867995,3.0493137545536,0.0461577499482182,0.829889299490665,0.999802087555117
"SSH3",-0.0231894132720219,5.27096389214997,0.0461322529418844,0.829935571320081,0.999802087555117
"RABGGTB",-0.0209262527775642,5.0702370476091,0.0461164658358939,0.829964228380617,0.999802087555117
"PITPNM2",0.0299255201846141,4.90390398892956,0.046073060409384,0.8300430452103,0.999802087555117
