"","gene","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y","position.x","position.y"
"3393","DKK3",549,138,562,21,164,53,338,149,133,620,696,377,252,313,360,75,733,1288,383,685,158,794,208,2280,185,2017,1737,355,271,1053
"9080","OGFRL1",815,494,598,730,2822,483,548,706,383,59,1046,176,459,132,560,79,190,249,967,259,679,289,184,197,217,1255,316,95,394,1605
"5297","GSTM2P1",523,1456,229,1354,1043,1683,371,1108,326,28,229,59,106,568,371,101,141,255,1096,63,1604,1217,278,73,266,1127,41,173,112,1023
"4414","FBLN7",194,259,1303,114,170,26,462,978,1527,385,402,121,261,1384,1835,53,410,964,259,174,809,435,276,128,688,2578,39,102,114,618
"282","ADGRG2",15,87,1473,128,121,325,48,85,183,2628,1503,714,36,4301,138,1208,394,223,61,15,209,60,2239,18,745,21,450,34,158,34
"14447","VIT",22,101,266,288,32,128,740,324,74,553,50,946,379,478,76,201,525,707,55,149,134,177,7104,886,85,498,1586,101,1041,23
"11408","SAMD11",2508,282,175,15,119,88,877,175,62,32,7,1497,134,222,40,38,1266,2338,159,532,8,152,600,1175,341,2118,1130,492,1133,31
"11475","SCARA5",30,72,105,141,14,39,119,224,159,360,147,1541,54,723,21,665,70,95,12,152,124,81,1381,204,49,3046,7897,49,374,188
"13201","TGFA",37,761,434,153,672,470,51,1031,33,800,2207,50,564,28,659,16,299,189,1274,683,3018,31,98,844,269,29,104,64,53,3288
"9336","PCDH7",482,407,173,130,480,654,79,181,564,147,500,399,122,72,90,684,133,284,559,605,1408,253,151,335,104,279,2958,802,45,5297
"13768","TRABD2A",500,1346,170,396,1521,1259,285,607,1209,176,555,352,458,488,191,578,231,155,1009,939,1252,431,507,963,194,250,193,520,192,1899
"3581","DSC2",762,669,411,677,2155,399,321,915,618,162,875,367,614,220,521,291,127,142,1729,697,1673,109,157,293,37,718,434,172,289,2372
"3481","DNAJC9-AS1",302,553,474,1206,302,312,1709,242,156,1894,243,719,229,587,638,320,1125,1920,182,366,115,306,983,155,1267,673,305,679,888,155
"12886","SYCE1",309,470,345,237,54,58,348,237,1,987,1139,114,734,161,38,174,65,472,207,2147,5922,186,104,1187,247,94,237,7,506,2221
"5945","IGSF9",404,1131,661,75,62,751,291,321,108,274,79,83,1754,289,96,376,771,365,353,1023,796,914,3217,1404,516,75,1728,62,460,628
"8615","NECTIN1",92,957,524,395,344,756,300,503,772,1523,1079,964,449,1075,507,1638,583,263,244,459,929,407,944,349,767,195,1255,348,180,484
"1629","C3AR1",79,314,301,1102,693,660,54,1470,3052,117,2349,152,231,347,754,307,120,13,2324,39,1564,347,108,53,89,545,137,27,174,1930
"5805","HTRA3",97,742,212,538,70,129,184,30,287,1365,245,1324,532,972,165,1987,631,371,72,717,747,673,2038,373,953,622,2452,479,242,230
"4892","GCKR",217,976,512,760,210,625,1389,404,317,1205,376,800,375,1730,639,943,1141,1097,431,81,118,1180,430,219,1037,462,520,491,731,64
"4560","FHOD3",139,5,1849,473,472,19,151,432,1364,746,2934,542,22,598,1360,1337,335,380,487,270,488,125,265,11,277,2184,1719,130,496,71
"10880","RERGL",1500,390,7,73,814,99,209,123,13,34,94,102,572,32,7,25,2,165,737,1303,2065,142,22,1492,236,1092,139,32,240,7945
"3893","EMILIN3",95,18,695,775,295,79,44,2595,4239,19,324,9,58,340,1166,26,130,477,3501,119,222,383,33,21,167,3442,6,30,23,435
"13204","TGFB2",264,3,1621,13,203,2,174,306,980,562,977,1682,274,2052,860,1043,233,207,58,117,415,157,521,191,11,2967,3314,116,246,206
